Date,Close
1/4/2010 16:00:00,291.38
1/5/2010 16:00:00,294.62
1/6/2010 16:00:00,293.35
1/7/2010 16:00:00,293.26
1/8/2010 16:00:00,295.63
1/11/2010 16:00:00,295.97
1/12/2010 16:00:00,299.37
1/13/2010 16:00:00,303.41
1/14/2010 16:00:00,309.04
1/15/2010 16:00:00,308.96
1/19/2010 16:00:00,311.18
1/20/2010 16:00:00,311.01
1/21/2010 16:00:00,308.87
1/22/2010 16:00:00,309.04
1/25/2010 16:00:00,307.76
1/26/2010 16:00:00,304.86
1/27/2010 16:00:00,303.67
1/28/2010 16:00:00,304.44
1/29/2010 16:00:00,305.03
2/1/2010 16:00:00,302.73
2/2/2010 16:00:00,306.74
2/3/2010 16:00:00,307.51
2/4/2010 16:00:00,307.42
2/5/2010 16:00:00,308.53
2/8/2010 16:00:00,309.9
2/9/2010 16:00:00,312.2
2/10/2010 16:00:00,312.46
2/11/2010 16:00:00,312.46
2/12/2010 16:00:00,309.81
2/16/2010 16:00:00,314.59
2/17/2010 16:00:00,314.51
2/18/2010 16:00:00,317.58
2/19/2010 16:00:00,318.43
2/22/2010 16:00:00,318.17
2/23/2010 16:00:00,315.44
2/24/2010 16:00:00,313.74
2/25/2010 16:00:00,313.14
2/26/2010 16:00:00,313.74
3/1/2010 16:00:00,313.05
3/2/2010 16:00:00,316.64
3/3/2010 16:00:00,317.07
3/4/2010 16:00:00,317.49
3/5/2010 16:00:00,316.3
3/8/2010 16:00:00,318.87
3/9/2010 16:00:00,317.94
3/10/2010 16:00:00,314.52
3/11/2010 16:00:00,313.82
3/12/2010 16:00:00,316.72
3/15/2010 16:00:00,319.45
3/16/2010 16:00:00,319.54
3/17/2010 16:00:00,320.73
3/18/2010 16:00:00,324.83
3/19/2010 16:00:00,324.66
3/22/2010 16:00:00,321.08
3/23/2010 16:00:00,315.27
3/24/2010 16:00:00,316.98
3/25/2010 16:00:00,314.42
3/26/2010 16:00:00,312.54
3/29/2010 16:00:00,317.07
3/30/2010 16:00:00,318
3/31/2010 16:00:00,319.28
4/1/2010 16:00:00,319.2
4/5/2010 16:00:00,321.5
4/6/2010 16:00:00,319.37
4/7/2010 16:00:00,323.38
4/8/2010 16:00:00,321.93
4/9/2010 16:00:00,323.38
4/12/2010 16:00:00,320.99
4/13/2010 16:00:00,319.03
4/14/2010 16:00:00,317.23
4/15/2010 16:00:00,321.84
4/16/2010 16:00:00,323.04
4/19/2010 16:00:00,322.52
4/20/2010 16:00:00,322.87
4/21/2010 16:00:00,325.77
4/22/2010 16:00:00,326.28
4/23/2010 16:00:00,323.64
4/26/2010 16:00:00,325.94
4/27/2010 16:00:00,319.88
4/28/2010 16:00:00,318.86
4/29/2010 16:00:00,320.39
4/30/2010 16:00:00,321.59
5/3/2010 16:00:00,326.02
5/4/2010 16:00:00,327.73
5/5/2010 16:00:00,330.03
5/6/2010 16:00:00,327.13
5/7/2010 16:00:00,326.14
5/10/2010 16:00:00,327.82
5/11/2010 16:00:00,327.46
5/12/2010 16:00:00,323.89
5/13/2010 16:00:00,323.04
5/14/2010 16:00:00,313.99
5/17/2010 16:00:00,311.26
5/18/2010 16:00:00,312.37
5/19/2010 16:00:00,312.37
5/20/2010 16:00:00,308.79
5/21/2010 16:00:00,309.3
5/24/2010 16:00:00,307.85
5/25/2010 16:00:00,304.01
5/26/2010 16:00:00,306.91
5/27/2010 16:00:00,309.81
5/28/2010 16:00:00,304.61
6/1/2010 16:00:00,305.89
6/2/2010 16:00:00,309.73
6/3/2010 16:00:00,307.59
6/4/2010 16:00:00,302.47
6/7/2010 16:00:00,299.4
6/8/2010 16:00:00,299.74
6/9/2010 16:00:00,298.55
6/10/2010 16:00:00,299.57
6/11/2010 16:00:00,297.87
6/14/2010 16:00:00,300.77
6/15/2010 16:00:00,302.39
6/16/2010 16:00:00,304.35
6/17/2010 16:00:00,302.47
6/18/2010 16:00:00,301.02
6/21/2010 16:00:00,304.86
6/22/2010 16:00:00,303.07
6/23/2010 16:00:00,302.05
6/24/2010 16:00:00,304.27
6/25/2010 16:00:00,305.03
